VMDProductNo,Name,MAHolder,VMNo,DateOfExpiration,AuthorisationRoute,Territory,ActiveSubstances,SPC_Link
A010163,Imidaspot 400 mg Spot-on Solution for Extra Large Dogs ,EU Pharmaceuticals Ltd,39787/4089,2024-02-19,National,United Kingdom,Imidacloprid,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1651801.PDF
A012037,Ketoxyme 100 mg/ml Solution for Use in Drinking Water ,"Andersen, S.A.",39897/4001,2022-01-05,Mutually Recognised,Northern Ireland,Ketoprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_633839.PDF
A008981,Ketoxyme 100 mg/ml Solution for Use in Drinking Water ,"Andersen, S.A.",39897/4001,2022-01-05,National,Great Britain,Ketoprofen,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_633839.PDF
A009057,Fenbendazole Wormer Granules 888 mg for Adult Dogs ,C&H Generics Ltd,40162/4005,2021-01-19,National,United Kingdom,Fenbendazole,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1033311.PDF
A010336,"Belavit AD3E, Solution for Injection for Horses, Cattle, Pigs, and Dogs ",Bela-Pharm GmbH & Co. KG,41816/4004,2023-05-15,National,Great Britain,"Alpha Tocopherol, Cholecalciferol, Retinol",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1642548.PDF
A011424,"Belavit AD3E, Solution for Injection for Horses, Cattle, Pigs, and Dogs ",Bela-Pharm GmbH & Co. KG,41816/4004,2023-05-15,Mutually Recognised,Northern Ireland,"Alpha Tocopherol, Cholecalciferol, Retinol",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1642548.PDF
A008396,Boviseal 2.6 g Intramammary Suspension for Cattle (Dairy Cows),Continental Farmaceutica,41966/4001,2020-12-01,Mutually Recognised (Informed Consent),,Bismuth Subnitrate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_404240.PDF
A008654,Clavamox LC Intramammary Suspension for Lactating Cattle ,Zoetis UK Limited,42058/4017,2022-05-24,National,Great Britain,"Amoxicillin, Clavulanic Acid, Prednisolone",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_524681.PDF
A011577,Clavamox LC Intramammary Suspension for Lactating Cattle ,Zoetis UK Limited,42058/4017,2022-05-24,Mutually Recognised,Northern Ireland,"Amoxicillin, Clavulanic Acid, Prednisolone",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_524681.PDF
A003238,Colombovac PMV/Pox,Zoetis UK Limited,42058/4021,2021-03-02,National,United Kingdom,"Newcastle disease virus, Pigeonpox virus",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139255.PDF
A002047,Duphacycline LA 20% Solution for Injection,Zoetis UK Limited,42058/4039,2019-05-31,National (Informed Consent),United Kingdom,Oxytetracycline,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138971.PDF
A000393,Duphapen + Strep Procaine Penicillin 200 mg & Dihydrostreptomycin Sulphate 250 mg Suspension for Injection,Zoetis UK Limited,42058/4045,2020-05-05,National (Informed Consent),United Kingdom,"Dihydrostreptomycin Sulphate, Procaine Benzylpenicillin",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141191.PDF
A002215,Duphapen 300 mg/ml Suspension for Injection,Zoetis UK Limited,42058/4046,2020-05-05,National (Informed Consent),United Kingdom,Procaine Benzylpenicillin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_142497.PDF
A000644,Duphatrim IS Injectable Solution Trimethoprim 40 mg and Sulfadiazine 200 mg Solution for Injection,Zoetis UK Limited,42058/4048 ,2023-07-19,National (Informed Consent),United Kingdom,"Sulfadiazine, Trimethoprim",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138977.PDF
A000760,Effydral Effervescent Tablet,Zoetis UK Limited,42058/4056,2021-09-20,National,United Kingdom,"Citric Acid Anhydrous , Glycine, Lactose Monohydrate, Potassium Chloride, Sodium Bicarbonate, Sodium Chloride",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139478.PDF
A001276,Hylartil Vet 10 mg/ml Solution for Injection,Zoetis UK Limited,42058/4071,2019-08-28,National,United Kingdom,Sodium Hyaluronate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_125692.PDF
A002630,Imuresp RP,Zoetis UK Limited,42058/4072,2022-11-29,National,United Kingdom,"Bovine parainfluenza virus 3, Infectious bovine rhinotraceitis virus",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_142162.PDF
A003219,Lactovac Suspension for Injection,Zoetis UK Limited,42058/4075,2022-06-08,National,Great Britain,"Bovine coronavirus, Bovine rotavirus, Escherichia coli",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138546.PDF
A012039,Lactovac Suspension for Injection,Zoetis UK Limited,42058/4075,2022-06-08,Mutually Recognised,Northern Ireland,"Bovine coronavirus, Bovine rotavirus, Escherichia coli",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138546.PDF
A002411,Orojet Lamb Oral Solution,Zoetis UK Limited,42058/4093,2021-09-20,National,United Kingdom,"Neomycin Sulphate, Streptomycin Sulphate",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141199.PDF
A008407,Pathozone 250 mg Intramammary Suspension for Cattle,Zoetis UK Limited,42058/4095,2020-05-27,Mutually Recognised,,Cefoperazone,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_428388.PDF
A003338,"Suvaxyn M. Hyo - Parasuis, Suspension for Injection for Pigs",Zoetis UK Limited,42058/4138,2021-02-15,National,Great Britain,"Haemophilus parasuis , Mycoplasma hyopneumoniae",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_151026.PDF
A012517,"Suvaxyn M. Hyo - Parasuis, Suspension for Injection for Pigs",Zoetis UK Limited,42058/4138,2021-02-15,Mutually Recognised,Northern Ireland,"Haemophilus parasuis , Mycoplasma hyopneumoniae",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_151026.PDF
A005619,Suvaxyn Parvo/E,Zoetis UK Limited,42058/4141,2020-05-13,Mutually Recognised,,"Erysipelothrix rhusiopathiae, Porcine parvovirus",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138359.PDF
A002559,Tardak 10 mg/ml Suspension for Injection,Zoetis UK Limited,42058/4149,2022-02-25,National,United Kingdom,Delmadinone Acetate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141304.PDF
A001414,Tetra-Delta Intramammary Suspension,Zoetis UK Limited,42058/4152,2022-06-08,National,United Kingdom,"Dihydrostreptomycin, Neomycin, Novobiocin, Prednisolone, Procaine Benzylpenicillin",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_125710.PDF
A002530,Tetramin 200 Powder Premix for Medicated Feed,Zoetis UK Limited,42058/4153,2020-09-23,National (Informed Consent),United Kingdom,Oxytetracycline,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_125711.PDF
A002522,Tracherine,Zoetis UK Limited,42058/4156,2022-11-29,National,United Kingdom,Infectious bovine rhinotraceitis virus,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_146616.PDF
A002280,Vetalar V 100 mg/ml Solution for Injection,Zoetis UK Limited,42058/4165,2023-02-07,National (Informed Consent),United Kingdom,Ketamine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141348.PDF
A000505,Vetremox 100% w/w Powder for Use in Drinking Water,Zoetis UK Limited,42058/4166,2021-09-02,National,United Kingdom,Amoxicillin Trihydrate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126180.PDF
A007214,Zermasect Cattle Pour-On Solution 15 g/litre ,Zoetis UK Limited,42058/4167,2022-08-19,National (Informed Consent),United Kingdom,Alpha-Cypermethrin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_213803.PDF
A009087,CEFSHOT DC 250 mg Intramammary Suspension for Cattle,Zoetis UK Limited,42058/4183,2022-11-29,National,Great Britain,Cephalonium,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_817893.PDF
A011542,CEFSHOT DC 250 mg Intramammary Suspension for Cattle,Zoetis UK Limited,42058/4183,2022-11-29,Mutually Recognised,Northern Ireland,Cephalonium,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_817893.PDF
A009209,Orbolan Lactating 200 mg Intramammary Suspension for Cattle and Sheep,Zoetis UK Limited,42058/4188,2019-10-21,Mutually Recognised,,Cloxacillin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_869863.PDF
A002453,"IsoFlo Vet 100% w/w Inhalation Vapour, Liquid",Zoetis UK Limited,42058/4196,2019-06-06,National (Informed Consent),United Kingdom,Isoflurane,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138547.PDF
A002190,Terramycin Soluble Powder Concentrated 20% w/w Oral Powder,Zoetis UK Limited,42058/4204,2022-03-02,National,United Kingdom,Oxytetracycline,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_113088.PDF
A009486,Suvaxyn Parvo/E-Amphigen Emulsion for Injection for Pigs ,Zoetis UK Limited,42058/4205,2022-10-04,National,Great Britain,"Erysipelothrix rhusiopathiae, Porcine parvovirus",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1096107.PDF
A012519,Suvaxyn Parvo/E-Amphigen Emulsion for Injection for Pigs ,Zoetis UK Limited,42058/4205,2022-10-04,Mutually Recognised,Northern Ireland,"Erysipelothrix rhusiopathiae, Porcine parvovirus",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1096107.PDF
A011788,"Equimoxectin 18.92 mg/g, Oral Gel for Horses and Ponies",Zoetis UK Limited,42058/4207,2021-03-11,Mutually Recognised (Informed Consent),Northern Ireland,Moxidectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_591312.PDF
A008851,"Equimoxectin 18.92 mg/g, Oral Gel for Horses and Ponies",Zoetis UK Limited,42058/4207,2021-03-11,National (Informed Consent),Great Britain,Moxidectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_591312.PDF
A008852,Equipramox 19.5 mg/g + 121.7 mg/g Oral Gel,Zoetis UK Limited,42058/4208,2021-03-11,National (Informed Consent),Great Britain,"Moxidectin, Praziquantel",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_591331.PDF
A011794,Equipramox 19.5 mg/g + 121.7 mg/g Oral Gel,Zoetis UK Limited,42058/4208,2021-03-11,Mutually Recognised (Informed Consent),Northern Ireland,Praziquantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_591331.PDF
A008766,Contacera 15 mg/ml Oral Suspension for Horses,Zoetis UK Limited,42058/5014,2024-02-05,National,Great Britain,Meloxicam,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008350,"Contacera 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",Zoetis UK Limited,42058/5015,2024-02-05,National,Great Britain,Meloxicam,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008296,Amprol 12% w/v Solution for Use in Drinking Water,Pharmsure International Ltd,42983/4000,2021-02-17,National,United Kingdom,Amprolium Hydrochloride,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1004528.PDF
A009266,Canihelmin Plus 50 mg/144 mg/150 mg Tablets for Dogs,Genera Inc.,43676/4001,2020-10-08,Mutually Recognised,,"Febantel, Praziquantel, Pyrantel Embonate",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1014906.PDF
A002758,Mydiavac,Benchmark Animal Health Limited,43684/4000,2021-02-11,National,United Kingdom,Chlamydophila abortus,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_107335.PDF
A002137,Bovidec Suspension for Injection,Benchmark Animal Health Limited,43684/4001,2021-12-02,National,United Kingdom,Bovine viral diarrhoea virus,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_107331.PDF
A009204,Rispoval RS + PI3 IntraNasal,Kernfarm B.V.,43877/4000,2023-07-19,National (MAPI),United Kingdom,"Bovine parainfluenza virus 3, Bovine respiratory syncytial virus",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_776975.PDF
A009367,Rotavec Corona Emulsion for Injection for Cattle,Kernfarm B.V.,43877/4002,2023-04-18,National (MAPI),United Kingdom,"Bovine coronavirus, Bovine rotavirus, Escherichia coli",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_889850.PDF
A009513,Vecoxan 2.5 mg/ml Oral Suspension,Kernfarm B.V.,43877/4005,2023-04-18,National (MAPI),United Kingdom,Diclazuril,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_970293.PDF
A009605,Flubenvet 5 % w/w Premix for Medicated Feeding Stuff,Kernfarm B.V.,43877/4008,2023-04-18,National (MAPI),United Kingdom,Flubendazole,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1032750.PDF
A009637,Vecoxan 2.5 mg/ml Oral Suspension,Kernfarm B.V.,43877/4009,2023-04-18,National (MAPI),United Kingdom,Diclazuril,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1043234.PDF
A009618,Helmex Cat 80 mg/20 mg Chewable Tablets for Cats,Zylavet Pharmaceuticals Ltd,44020/4004,2021-11-22,National,Great Britain,"Praziquantel, Pyrantel",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1191852.PDF
A011976,Helmex Cat 80 mg/20 mg Chewable Tablets for Cats,Zylavet Pharmaceuticals Ltd,44020/4004,2021-11-22,Mutually Recognised,Northern Ireland,"Praziquantel, Pyrantel",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1191852.PDF
A009381,Lincophar 400 mg/ml Solution for Use in Drinking Water for Chickens ,Ecuphar Veterinaria S.L.U.,46037/4004,2020-11-12,Mutually Recognised,,Lincomycin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1205843.PDF
A012057,Marbim 100 mg/ml Solution for Injection for Cattle and Pigs,Bimeda Animal Health Limited,50146/4004,2020-12-16,Mutually Recognised,Northern Ireland,Marbofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1073481.PDF
A009332,Marbim 100 mg/ml Solution for Injection for Cattle and Pigs,Bimeda Animal Health Limited,50146/4004,2020-12-16,National,Great Britain,Marbofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1073481.PDF
A008958,Ectron 10 mg/ml Spot-on Solution for Cattle and Sheep,Bimeda Animal Health Limited,50146/4024,2019-10-11,National,United Kingdom,Deltamethrin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_781022.PDF
A007159,Prac-tic 137.5 mg Spot-on Solution for Small Dogs,Elanco GmbH,52127/5025,2021-10-21,National,Great Britain,Pyriprole,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A007160,Prac-tic 275 mg Spot-on Solution for Medium Dogs,Elanco GmbH,52127/5026,2021-10-21,National,Great Britain,Pyriprole,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A006604,Prac-tic 56.25 mg Spot-on Solution for Very Small Dogs,Elanco GmbH,52127/5027,2021-10-21,National,Great Britain,Pyriprole,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A007161,Prac-tic 625 mg Spot-on Solution for Large Dogs,Elanco GmbH,52127/5028,2021-10-21,National,Great Britain,Pyriprole,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A007183,Acticam 5 mg/ml Solution for Injection for Dogs and Cats,Ecuphar NV,EU/2/08/088/004,2020-12-31,Centralised,Northern Ireland,Meloxicam,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A007355,Suvaxyn PCV Suspension for Injection for Pigs,Zoetis Belgium,EU/2/09/099/001-006,2020-04-08,Centralised,Northern Ireland,recombinant Porcine Circovirus type 1 expressing the Porcine circovirus type 2 ORF2 protein,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A010854,Bovilis BTV8 Suspension for Injection for Cattle and Sheep,Intervet International BV,EU/2/10/106/001-014,2022-10-04,Centralised,Northern Ireland,Bluetongue virus,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008056,Zulvac 1 Bovis Suspension for Injection for Cattle,Zoetis Belgium,EU/2/11/130/001-003 ,2020-02-18,Centralised,,Bluetongue virus,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008024,Zulvac 1 Ovis Suspension for Injection for Sheep,Zoetis Belgium,EU/2/11/131/001-006 ,2020-02-18,Centralised,,Bluetongue virus,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A010839,"Aftovaxpur DOE Emulsion for Injection for Cattle, Sheep and Pigs",Boehringer Ingelheim Vetmedica Gmbh,EU/2/13/153/001-850,2023-02-23,Centralised,Northern Ireland,Foot-and-mouth disease virus,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008681,Parvoduk Suspension and Diluent for Suspension for Injection for Muscovy Ducks,Merial,EU/2/14/162/001–002,2019-04-15,Centralised,,Duck parvovirus,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A009046,Coliprotec F4 Lyophilisate for Oral Suspension for Pigs,Prevtec Microbia GmbH,EU/2/14/180/001-003,2021-11-15,Centralised,Northern Ireland,Escherichia coli,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A008919,Velactis 1.12 mg/ml Solution for Injection for Cattle,Ceva Sante Animale,EU/2/15/192/001-004,2020-12-09,Centralised,,Cabergoline,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A009756,Ingelvac PCV FLEX,Boehringer Ingelheim Vetmedica Gmbh,EU/2/17/208/001-008,2019-06-28,Centralised,,Porcine circovirus-2,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A05028,Bovalto Ibraxion Emulsion for Injection,Merial,EU/2/99/017/001-006,2019-08-13,Centralised,,Infectious bovine rhinotraceitis virus,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
