VMDProductNo,Name,MAHolder,Distributors,VMNo,DateOfIssue,AuthorisationRoute,Territory,ActiveSubstances,ControlledDrug,TargetSpecies,DistributionCategory,PharmaceuticalForm,TherapeuticGroup,SPC_Link,UKPAR_Link,PAAR_Link
A011894,Fleanil Duo 402 mg / 361.8 mg Spot-on Solution for Very Large Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4416,2017-04-24,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,Dogs,AVM-GSL,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1170735.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985381.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1640307.PDF
A009570,Fleanil Duo 402 mg / 361.8 mg Spot-on Solution for Very Large Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4416,2017-04-24,National,Great Britain,"(S)-Methoprene, Fipronil",N,Dogs,AVM-GSL,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1170735.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1985381.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1640307.PDF
A009555,PestiGon Combo 50 mg / 60 mg Spot-on Solution for Cats and Ferrets ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4417,2017-05-16,National,Great Britain,"(S)-Methoprene, Fipronil",N,"Cats, Ferrets",POM-V,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1180870.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1992972.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315641.PDF
A012263,PestiGon Combo 50 mg / 60 mg Spot-on Solution for Cats and Ferrets ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4417,2017-05-16,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,"Cats, Ferrets",POM-V,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1180870.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1992972.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315641.PDF
A012264,PestiGon Combo 67 mg / 60.3 mg Spot-on Solution for Small Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4418,2017-05-16,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1180621.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1993029.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315644.PDF
A009556,PestiGon Combo 67 mg / 60.3 mg Spot-on Solution for Small Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4418,2017-05-16,National,Great Britain,"(S)-Methoprene, Fipronil",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1180621.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1993029.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315644.PDF
A009557,PestiGon Combo 134 mg / 120.6 mg Spot-on Solution for Medium Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4419,2017-05-16,National,Great Britain,"(S)-Methoprene, Fipronil",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1180934.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1995472.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315636.PDF
A012260,PestiGon Combo 134 mg / 120.6 mg Spot-on Solution for Medium Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4419,2017-05-16,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1180934.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1995472.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315636.PDF
A012261,PestiGon Combo 268 mg / 241.2 mg Spot-on Solution for Large Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4420,2017-05-16,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1181710.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1992961.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315638.PDF
A009558,PestiGon Combo 268 mg / 241.2 mg Spot-on Solution for Large Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4420,2017-05-16,National,Great Britain,"(S)-Methoprene, Fipronil",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1181710.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1992961.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315638.PDF
A009559,PestiGon Combo 402 mg / 361.8 mg Spot-on Solution for Very Large Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4421,2017-05-16,National,Great Britain,"(S)-Methoprene, Fipronil",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1182011.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1992970.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315639.PDF
A012262,PestiGon Combo 402 mg / 361.8 mg Spot-on Solution for Very Large Dogs ,Norbrook Laboratories Limited,<span>Norbrook Laboratories (GB) Ltd</span>,02000/4421,2017-05-16,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",N,Dogs,POM-V,Spot-on solution,Ectoparasiticide; Insect Growth Regulator,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1182011.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1992970.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1315639.PDF
A012232,Oxyfluke 34 mg/ml Oral Suspension for Cattle and Sheep,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4422,2017-08-21,Mutually Recognised,Northern Ireland,Oxyclozanide,N,"Cattle, Sheep",POM-VPS,Oral suspension,Anthelmintic flukicide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1236181.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1250650.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1556892.PDF
A009676,Oxyfluke 34 mg/ml Oral Suspension for Cattle and Sheep,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4422,2017-08-21,National,Great Britain,Oxyclozanide,N,"Cattle, Sheep",POM-VPS,Oral suspension,Anthelmintic flukicide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1236181.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1250650.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1556892.PDF
A009747,Cepritect 250 mg Intramammary Suspension for Dry Cows ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited </span>,02000/4423,2017-11-23,National,Great Britain,Cephalonium,N,Cattle,POM-V,Intramammary suspension,Antimicrobial intramammary,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1288007.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1298726.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1350421.PDF
A011552,Cepritect 250 mg Intramammary Suspension for Dry Cows ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited </span>,02000/4423,2017-11-23,Mutually Recognised,Northern Ireland,Cephalonium,N,Cattle,POM-V,Intramammary suspension,Antimicrobial intramammary,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1288007.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1298726.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1350421.PDF
A011604,Combiclav Intramammary Suspension for Lactating Cows,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited </span>,02000/4424,2018-10-03,Mutually Recognised,Northern Ireland,"Amoxicillin, Clavulanic Acid, Prednisolone",N,Cattle,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1458439.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1466871.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1466773.PDF
A009972,Combiclav Intramammary Suspension for Lactating Cows,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited </span>,02000/4424,2018-10-03,National,Great Britain,"Amoxicillin, Clavulanic Acid, Prednisolone",N,Cattle,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1458439.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1466871.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1466773.PDF
A009973,Noroclav Intramammary Suspension for Lactating Cows,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited </span>,02000/4425,2018-10-03,National,Great Britain,"Amoxicillin, Clavulanic Acid, Prednisolone",N,Cattle,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1459177.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1466871.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1466777.PDF
A012199,Noroclav Intramammary Suspension for Lactating Cows,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited </span>,02000/4425,2018-10-03,Mutually Recognised,Northern Ireland,"Amoxicillin, Clavulanic Acid, Prednisolone",N,Cattle,POM-V,Intramammary suspension,Antimicrobial intramammary; Anti Inflammatory,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1459177.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1466871.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1466777.PDF
A009998,Selapro 15 mg Spot-on Solution for Dogs and Cats (< 2.5 kg),Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4427,2018-10-23,National,Great Britain,Selamectin,N,"Cats, Dogs",POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1471744.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986266.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517324.PDF
A012459,Selapro 15 mg Spot-on Solution for Dogs and Cats (< 2.5 kg),Norbrook Laboratories Limited,<span> Norbrook Laboratories (GB) Limited</span>,02000/4427,2018-10-23,Mutually Recognised,Northern Ireland,Selamectin,N,"Cats, Dogs",POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1471744.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986266.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517324.PDF
A012463,Selapro 45 mg Spot-on Solution for Cats (2.6–7.5 kg) ,Norbrook Laboratories Limited,<span> Norbrook Laboratories (GB) Limited</span>,02000/4428,2018-10-23,Mutually Recognised,Northern Ireland,Selamectin,N,Cats,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1472346.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986324.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517337.PDF
A009999,Selapro 45 mg Spot-on Solution for Cats (2.6–7.5 kg) ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4428,2018-10-23,National,Great Britain,Selamectin,N,Cats,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1472346.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986324.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517337.PDF
A010000,Selapro 60 mg Spot-on Solution for Large Cats (7.6–10.0 kg),Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4429,2018-10-23,National,Great Britain,Selamectin,N,Cats,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1472428.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1995681.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517340.PDF
A012464,Selapro 60 mg Spot-on Solution for Large Cats (7.6–10.0 kg),Norbrook Laboratories Limited,<span> Norbrook Laboratories (GB) Limited</span>,02000/4429,2018-10-23,Mutually Recognised,Northern Ireland,Selamectin,N,Cats,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1472428.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1995681.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517340.PDF
A012461,Selapro 30 mg Spot-on Solution for Very Small Dogs (2.6–5.0 kg)  ,Norbrook Laboratories Limited,<span> Norbrook Laboratories (GB) Limited</span>,02000/4430,2018-10-23,Mutually Recognised,Northern Ireland,Selamectin,N,Dogs,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1471794.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986298.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517332.PDF
A010001,Selapro 30 mg Spot-on Solution for Very Small Dogs (2.6–5.0 kg)  ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4430,2018-10-23,National,Great Britain,Selamectin,N,Dogs,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1471794.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986298.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517332.PDF
A010002,Selapro 60 mg Spot-on Solution for Small Dogs (5.1–10.0 kg)  ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4431,2018-10-23,National,Great Britain,Selamectin,N,Dogs,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1472556.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986335.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517342.PDF
A012465,Selapro 60 mg Spot-on Solution for Small Dogs (5.1–10.0 kg)  ,Norbrook Laboratories Limited,<span> Norbrook Laboratories (GB) Limited</span>,02000/4431,2018-10-23,Mutually Recognised,Northern Ireland,Selamectin,N,Dogs,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1472556.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986335.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517342.PDF
A012458,Selapro 120 mg Spot-on Solution for Medium Dogs (10.1–20.0 kg),Norbrook Laboratories Limited,<span> Norbrook Laboratories (GB) Limited</span>,02000/4432,2018-10-23,Mutually Recognised,Northern Ireland,Selamectin,N,Dogs,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1471107.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986245.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517321.PDF
A010003,Selapro 120 mg Spot-on Solution for Medium Dogs (10.1–20.0 kg),Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4432,2018-10-23,National,Great Britain,Selamectin,N,Dogs,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1471107.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986245.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517321.PDF
A010004,Selapro 240 mg Spot-on Solution for Large Dogs (20.1–40.0 kg)   ,Norbrook Laboratories Limited,<span>Norbrook Laboratories Limited</span>,02000/4433,2018-10-23,National,Great Britain,Selamectin,N,Dogs,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1471671.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986280.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517329.PDF
A012460,Selapro 240 mg Spot-on Solution for Large Dogs (20.1–40.0 kg)   ,Norbrook Laboratories Limited,<span> Norbrook Laboratories (GB) Limited</span>,02000/4433,2018-10-23,Mutually Recognised,Northern Ireland,Selamectin,N,Dogs,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1471671.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986280.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517329.PDF
A012462,Selapro 360 mg Spot-on Solution for Very Large Dogs (40.1–60.0 kg)   ,Norbrook Laboratories Limited,<span> Norbrook Laboratories (GB) Limited</span>,02000/4434,2018-10-23,Mutually Recognised,Northern Ireland,Selamectin,N,Dogs,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1472184.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1986304.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1517335.PDF
